String ,Count
popular email programs,1
microsoft outlook,1
different address,1
protocol.the individuals,1
remote access protocol chat protocol,1
voip voip telnet telnet,1
main internet protocol,1
remote machine,1
remote computers,1
remote hosts,1
telnet client establishes,1
virtual terminal,1
specific application,1
host computer,1
telnet,2
systems viz,1
mac os x,1
windows,1
unix,2
linux,2
respective command lines,1
telnet host wherehost isthe name,1
remote computer,1
'll need,1
program developers,1
specific applications,1
particular host computer,1
computer system,1
free connection,1
conventional modems,1
chatting,1
real time,2
informal communication,1
aol,1
messenger,1
campfire,1
internet messenger,1
msn messenger,1
textual conversation,1
internet relay chat,1
irc,8
jarkkooikarinen,1
finland,1
late 1980s,1
client sends,1
server transports,1
server identifies,1
unique nickname,1
unique channel,1
multiple discussions,1
voip,5
telephone network,1
phone calls,2
standard internet connection,1
convectional way,1
telecommunication,1
different methods,1
common use,1
ata,2
telephone device,1
analog signals,1
atas,1
ordinary telephone,1
cordless phone,1
lan,20
necessary right onboard,1
ip phones,1
calledvoip telephones,1
sip,1
phones orsoft phones,1
computer-to-computer,1
basic hardware requirements,1
computer internet,1
microphone,1
to- computer,1
transmission medium wired transmission media,1
twisted pair cables,2
transmission media –,1
wired,2
twisted pair,1
coaxial,1
fibre optic,2
wireless,2
infrared,6
radio waves,7
microwaves,3
satellites,3
understand network topologies,1
bus,3
tree,3
network devices,4
modem,2
rj-45,4
ethernet card,3
switch,1
repeater,1
router,2
wi-fi,10
transmission medium,5
plural media,1
communication channel,3
guided,1
unguided media,1
transmission media,5
pair cable,2
ethernet,14
coaxial cable,2
optical fibre whereas wireless transmission media,1
radio wave,2
bluetooth,1
wifi,3
common forms,1
lans,7
regular spiral pattern,1
double helix,1
telephone communications,1
telephonic communication,1
voice grade medium,1
vgm,1
quality cable,1
data grade medium,1
dgm,1
wires reduces crosstalk,1
network errors,1
internal crosstalk,1
external interference,2
chapter-2,1
networking concepts,2
ii computer,1
advantages,6
long distances,2
low weight,1
expensive medium,1
low speed,1
disadvantages,9
noise signals,1
broadband applications,1
pair cables,3
shielded twisted pair,1
stp,3
unshielded twisted pair,1
utp,2
individual pairs,1
utp stp computer,1
coaxial cables,2
solid wire cores,1
wire shields,1
plastic insulator,1
inner core,1
high electrical properties,1
high speed communication,1
television signals,1
large corporations,1
security systems,1
multi,1
channel television signals,1
metropolitan areas,1
//upload.wikimedia.org/wikipedia/commons/thumb/f/f4/coaxial_ cable_cutaway.svg/500px-coaxial_cable_cutaway.svg.png,1
transmission characteristics,1
broadband communication i.e,1
high bandwidth,2
cable network,1
common types,1
thicknet,2
thinnet,2
whereas,1
cable segments,1
maximum segment length,1
plastic jacket dielectric insulator metallic shield centre core computer,1
optical fibres,2
thin strands,1
light sources,1
leds,1
laser diodes,1
lds,1
light beam,1
frequency modulation techniques,1
receiver 's end,1
optical,2
multichannel communication,1
core,1
light travels ii,1
cladding,1
core iii,1
protective,1
buffer,1
fibre cable,1
hostile environments,1
layers,1
optical fiber advantages,1
magnetic interference,1
harsh industrial environments,1
high transmission capacity,1
broadband transmission,1
connecting,1
light source,1
difficult process,1
hence,6
connection loss,1
common problem,1
coating core cladding optical fiber computer,1
single,1
node fibre optic cable,1
segment length,2
100mbps ii,1
multinode,1
fibre optic cable,2
media transport electromagnetic waves,1
physical conductor,1
wireless media,1
human eye,1
visible light,1
red light,1
far,1
shorter,1
ca n't,1
shorter wavelengths,1
tv remotes,1
important role,2
wireless data communication,1
laptop computers,1
personal digital assistants,1
pdas,1
digital cameras,1
mobile phones,1
line-of-sight transmission,1
atmospheric conditions,1
short range,1
inexpensive transmission medium,1
short range communication,1
wave transmission,1
buildings etc,1
radiowave transmission,1
certain radio frequencies,1
private/government organizations,1
direct voice communications,1
radio signal uses,1
receiver use antennas,1
radio signal,1
radio transmission,1
delivery services,1
security personals etc,1
wireless transmission media,1
radiowaves computer,1
difficult terrains,2
outdoor communication,1
thunderstorm etc,2
popular transmission medium,1
data transmission rates,1
transmission uses,1
frequency radio signals,1
transmit data,3
obstacles viz,1
mountains etc,1
sight method,1
microwave system,1
high towers,1
microwave transmission,1
repeater stations,1
long distance transmission,1
long distance telephonic communications,1
microwave,1
voice channels,1
signals,1
certain distance,1
regular intervals,1
data signals,1
expensive mode,1
installation,1
microwave links,1
expensive affair,1
weather conditions,2
thunderstorms etc,1
essential part,1
telecommunications systems worldwide,1
large amount,2
tv signals,1
satellites computer,1
//www.radio-electronics.com/info/satellite/communications_ satellite/communications_satellite.gif,1
fig,10
satellite communication satellite,1
special use,1
microwave transmission system,1
orbit speed,1
earth 's rotation speed,1
ground station,2
satellite dish,1
communication equipment,1
uplink,1
downlink,1
such satellites,1
entire earth 's surface,1
capacity,1
satellite communications,1
typical data,1
remote locations,1
satellite,1
satellite transmission,1
national transmission,1
reception costs,1
placing,1
orbit involves,1
high cost,1
necessary security measures,1
receiving earth,1
transmitting earth,1
satellite uplink downlink computer,1
network topologies,1
bus topology topology,1
local area network,4
communication medium,3
installation cost,3
simple terms,5
fault detection,1
ends transmitter,1
main characteristic,1
point link,1
transmitter transmits,1
medium i.e,1
separate wires,1
link network,1
basic types,1
bus star tree,1
complex networks,1
above basic topologies,1
linear topology,1
node attaches,1
common cable,1
various nodes,1
network sends,1
broadcast message,1
small blocks,1
destination address,2
destination node identifies,1
small workgroups,1
bus topologies,2
bus networks work,1
dozen computers,1
network bus,1
performance problems,1
backbone cable,1
entire network,5
transmitter receiver computer,1
bus topology advantages,1
bus topology,3
common data path,1
bus topology uses,1
short cable length,1
linear architecture,1
additional,1
bus network,1
topology i,1
fault,2
particular node,1
faulty node,1
connection point,1
central bus length,1
central bus,1
star network,3
central connection point,1
hub node,1
central network hub,1
central point,1
network problems,1
gathering network statistics,1
information networks,1
data communications,1
voice communications,1
ibm370,1
host system,1
home networks,1
star topology,2
topology computer,1
compared,1
star network cable,1
computer 's network access,1
//compnetworking.about.com/od/networkdesign/ig/computer -network-topologies/star-network-topology-diagram.htm,1
topology advantages,1
topology,2
functional network,1
easy reconfiguration,1
access,2
central node,3
central root,1
multiple star topologies,1
hub devices,1
tree bus,1
tree topology computer,1
hybrid approach supports future expandability,1
broadcast traffic,1
hub connection points,1
hierarchical flow,1
tree topology,1
common network devices,1
modulator,1
demodulator,1
peripheral device,1
cable lines,1
binary language,1
transmission mediums,1
way point,1
conversely,1
modem converts,1
analogue carrier signal,1
encode digital information,1
carrier signal,1
modulator/demodulator,1
original digital data,1
network devices modem computer,1
working,1
high speeds,2
available access lines,1
b/s,1
short form,1
registered jack,1
rj-11,1
telephone equipment,1
network adapter,1
network interface card,1
nic,6
adapters support,1
network connections,1
contains connections,1
rj-45 ethernet card,1
telephone line analogue,1
signal,1
newer ethernet,1
desktop computers,2
resemble credit cards,1
mobile computers,1
small boxes,1
usb ethernet,1
convenient alternative,1
pci,1
video game consoles,1
consumer devices,1
expansion slots,1
different network speeds,1
maximum speed,1
fast ethernet,1
speeds upto1,1
gbps,1
gigabit ethernet,2
different sub-networks,1
prevents traffic,1
switches,2
fundamental part,1
speed things,1
different nodes,1
efficient manner,1
network switch,1
small hardware device,1
multiple computers,1
network hubs,1
intelligent hub,1
network switches,1
data packets,2
destination device,1
network switch conserves network bandwidth,1
switch computer,1
mainstream ethernet,1
network switches support,1
separate connection,1
company 's,1
internal network,1
switch creates,1
instant networks,1
particular moment,1
switches switches,1
small businesses,1
external software applications,1
cable connections,1
repeaters regenerate,1
optical signals,1
electrical signal,1
conductor resistance,1
dielectric losses,1
similarly,1
light signal,1
optical fibre suffers attenuation,1
physical media,1
data transmissions,1
signal degrades,1
repeaters,1
signal integrity,1
repeater repeater,1
meters repeater,1
meters computer,1
actual,1
active,2
multiport repeaters,1
access points,1
multiple network architectures,1
network device,2
different protocols,1
logical address,1
possible paths,1
alternate route,1
routers,3
intelligent connection,1
local network,2
external networks,1
different structures i.e,1
dissimilar networks,1
control traffic,1
company 's network,1
gateway nodes,1
network gateway,1
computer server,1
gateway node,1
proxy server,2
firewall server,1
private network,1
actual path,1
data translation,1
protocol conversion,1
term default gateway,1
network configuration screens,1
microsoft windows,1
default gateway,2
passes traffic,1
local subnet,1
internal gateways,1
local networks,1
wi-fi card wi-fi,1
portable cards,1
laptop computer,1
wireless network,2
antenna transmits,1
radio signals,1
cell phones,1
wireless internet connection,1
login screen,1
usb,2
antenna attachment,1
mobile devices etc,1
cable modem,1
internet access,1
objectives,1
understand,3
networking,2
interspace learn,1
various communication terminologies –,1
nodes,2
workstations,2
dedicated,2
non dedicated,1
network interface,4
niu,2
various types,2
networks,4
pan,3
wan,10
man,5
know,1
various data communication terminologies – channel –,1
bandwidth,2
data transfer rate communication,1
data needs,1
fast speed,1
minimum data loss,1
major impact,1
communication technology,2
profound influence,1
computer systems,1
old model,1
organization 's computational needs,1
large number,1
computer network,5
need peripheral devices,1
various computers,2
school 's computer lab,1
lab 's computers,1
exchange information,2
chapter-1,1
independent computers,1
network medium,1
cd-rom,1
communication paths,1
world 's,1
multiple locations,1
phone companies,1
conduct video conferences,1
remote users,1
database management,1
core business operations,1
indispensible part,1
sharing,2
data files,1
different departments,3
distant places,1
central computer,1
files,1
remote shares,1
software,1
buying licenses,1
sharing peripherals laser,1
large storage media,1
such resources,1
operational cost,1
hard disks etc,1
fax systems,1
audio,1
video content,1
multiple devices,1
access data,1
database load,1
reliable communication medium,1
need,1
resource,1
improving,1
different branches,1
different cities,1
video telephone calls,1
major use,1
average person,1
remote database,2
example airline reservations,1
book tickets,1
likewise,1
online universities,1
hotels etc,1
remote-control/access,1
troubleshoot problems,1
new users,1
deploy computer viruses,1
computer worms,1
file,1
wans,2
difficult,1
difficult task,1
often,1
arpanet,3
u.s.,2
advanced,1
projects,1
different universities,1
gradually,1
distance games,1
hence arpanet,1
mid 80s,1
national science foundation,1
new high capacity network,1
nsfnet,2
academic research,1
private companies,1
own networks,1
facilitate data communication services,1
remote login,1
different companies,1
evolution,1
networking internet,1
super network,1
common set,1
internet uses,1
protocol/internet protocol,1
programs,1
web browsers,1
file transfer protocol,1
email clients,1
common ways,1
users work,1
meteoric rise,1
communications highway,1
academic institutions,1
full-fledged conduit,1
economic resources,1
client/server software program,1
multiple users,1
communicate online,1
real time audio,1
dynamic 3d environments,1
multiple ways,1
multiple sources,1
connection medium,1
wireless communication,1
system software,1
microsoft windows nt,1
novell netware,1
hardware resources,2
unique name,1
servers,1
inter,1
requirements,1
network terminologies computer,1
non,2
dedicated servers,1
big network installations,1
server 's job,1
nodes access data,1
such type,1
master- slave networks,1
small networks,2
peer,2
specific resources,1
file server,1
printer server,1
modem server,1
network interface unit,1
standalone computer,1
terminal access,1
tap,1
manufacturer assigns,1
unique physical address,1
physical address,1
mac,1
switching,3
packet switching,1
complete physical connection,1
circuit guarantees,1
full bandwidth,1
communication session,1
idle channels,1
early analogue telephone network,1
telephone exchange,2
continuous wire circuit,1
call lasts,1
switching techniques,1
packet switching packet,1
discrete blocks,1
data links,1
data stream,2
packet contains,1
main advantage,1
different sources,1
efficient use,1
current technology,1
local area,2
small group,1
personal computers,1
personal,4
individual person,1
area networks,2
mobile computer,1
cell phone and/or,1
pda,1
calendar appointments,1
digital photos,1
firewire,1
pans,2
bluetooth pans,1
special type,1
short distance,1
link hundreds,1
expensive devices,1
laser printers,1
users,1
nowadays,1
wlan,1
wireless lan,1
worldwide proliferation,1
educational organizations,1
metropolitan area,1
similar technology,1
physical area,1
km diameter,1
mans,1
digital media,1
uplink services,1
wide area networks,1
local cable television network,1
communications links,1
network provider,1
adopts technologies,1
term implies,1
various commercial,1
private communication lines,1
typically,1
phone lines,1
dial-up phone lines,1
satellite links,1
high speed fibre optic cables,1
data packet carrier services,1
remote access server,1
vast distances,1
local telephone exchange,1
entire earth,1
data communication terminologies,1
remote devices,1
entire physical medium,1
telephone line,1
optical fibre,1
data communication terminologies computer,1
pair wire,1
carrier frequencies,1
depending,1
broad categories,1
communication channels,1
narrow band,1
telegraph lines,1
low speed terminals,1
voice band,1
ordinary telephone communication,1
broad band,1
large volumes,1
electronic communication,1
bandwidth refers,1
hertz,1
hz,1
typical voice signal,1
wider,1
communication system,1
dtr,1
digital form,1
rate applies,1
digital data streams,1
unit baud,1
fast data,1
maximum data,1
