String ,Count
pay-as-you-go plans,1
flat percentage,1
total expenditure,1
processing fee,1
print receipts,1
google wallet,1
paypal,1
paytm,1
freecharge,1
bhim,1
unified payment interface,1
apps etc,1
